comparacoesAVL	tamanhoAVL	comparacoesABB	tamanhoABB
18	10764	15	10764
15	20579	21	20579
13	6995	15	6995
15	9689	23	9689
17	27626	22	27626
16	48076	25	48076
13	13768	20	13768
15	6613	20	6613
16	41333	9	41333
16	34235	17	34235
12	16820	23	16820
16	35496	23	35496
10	4778	15	4778
16	31221	29	31221
14	31115	16	31115
15	5719	16	5719
16	45335	29	45335
16	40244	21	40244
12	5028	16	5028
16	23203	25	23203
17	51028	14	51028
17	27050	22	27050
14	17350	19	17350
15	21940	22	21940
16	28258	27	28258
13	34856	25	34856
15	3744	12	3744
15	12860	21	12860
16	44701	26	44701
15	35249	28	35249
16	52118	23	52118
17	55464	20	55464
16	55827	27	55827
18	59112	18	59112
12	5152	16	5152
16	59804	20	59804
15	23539	18	23539
17	18920	21	18920
15	42769	28	42769
16	41224	18	41224
17	53154	25	53154
17	35940	33	35940
16	16719	15	16719
15	34283	24	34283
16	43512	20	43512
15	24185	16	24185
17	40001	16	40001
16	5198	12	5198
14	4428	12	4428
15	45028	19	45028
16	28400	20	28400
15	55455	27	55455
16	12078	16	12078
16	22101	16	22101
14	53746	28	53746
15	16687	21	16687
16	56957	30	56957
17	57490	20	57490
15	29546	19	29546
12	18009	19	18009
17	9090	24	9090
17	58015	29	58015
15	13473	16	13473
15	41268	26	41268
16	57127	27	57127
14	54976	27	54976
14	17423	22	17423
17	57017	25	57017
16	50247	19	50247
5	191	14	191
16	19752	29	19752
15	12482	19	12482
17	31310	24	31310
16	54034	20	54034
18	55993	18	55993
16	31847	15	31847
17	34035	27	34035
9	1190	15	1190
15	36274	22	36274
18	55414	27	55414
13	29589	25	29589
13	8081	22	8081
17	43843	22	43843
15	51690	22	51690
12	1826	12	1826
11	530	12	530
15	24998	17	24998
17	35667	18	35667
15	6427	14	6427
13	19358	10	19358
13	21108	20	21108
16	40794	27	40794
15	32830	23	32830
15	38727	22	38727
14	37920	19	37920
15	27806	26	27806
17	56150	19	56150
15	11288	17	11288
14	54404	24	54404
15	32692	21	32692
13	14156	21	14156
16	45174	22	45174
15	57189	23	57189
16	17518	17	17518
18	29035	26	29035
17	18575	21	18575
15	18708	16	18708
16	41661	29	41661
17	13989	21	13989
17	24648	26	24648
15	26093	15	26093
17	57831	21	57831
18	52689	21	52689
13	4270	18	4270
16	34712	19	34712
11	17686	21	17686
15	16289	19	16289
14	17491	15	17491
17	37044	19	37044
16	37396	21	37396
17	58284	18	58284
18	46225	16	46225
16	52475	25	52475
15	12555	18	12555
15	50382	16	50382
15	48624	30	48624
16	23842	15	23842
15	44786	19	44786
17	57667	32	57667
13	49721	22	49721
15	35293	18	35293
16	19192	31	19192
15	23262	14	23262
15	43481	23	43481
15	36710	17	36710
16	28648	26	28648
14	38408	22	38408
14	31769	15	31769
15	46660	26	46660
17	52396	19	52396
15	56416	24	56416
16	12752	12	12752
17	26578	13	26578
16	49105	24	49105
15	17022	24	17022
15	1290	14	1290
17	43142	19	43142
17	33310	22	33310
16	55132	17	55132
17	56537	24	56537
17	47057	26	47057
17	53415	18	53415
15	19114	19	19114
17	39531	18	39531
16	42321	20	42321
