comparacoesAVL	tamanhoAVL	comparacoesABB	tamanhoABB
13	759	13	759
14	4610	17	4610
13	6580	21	6580
12	2246	15	2246
12	3114	18	3114
12	3662	15	3662
13	1799	15	1799
11	6168	18	6168
12	6721	11	6721
10	2589	12	2589
13	1150	14	1150
11	2884	17	2884
14	9831	19	9831
13	6636	15	6636
13	4594	19	4594
14	7671	17	7671
13	7729	18	7729
13	2066	14	2066
14	2114	13	2114
14	8949	19	8949
9	685	10	685
15	9731	15	9731
13	8854	20	8854
12	5762	24	5762
12	1472	19	1472
13	7116	19	7116
13	878	13	878
14	4560	16	4560
13	4227	19	4227
13	5487	21	5487
11	7492	23	7492
13	4952	16	4952
11	7505	16	7505
13	4623	16	4623
14	1119	24	1119
10	577	19	577
13	3563	16	3563
14	8620	16	8620
12	3460	24	3460
14	9746	16	9746
12	5255	18	5255
14	4405	28	4405
14	7416	20	7416
14	9336	15	9336
13	6470	19	6470
13	5881	21	5881
14	7071	19	7071
11	1770	17	1770
13	8036	18	8036
13	4107	18	4107
11	1500	21	1500
14	9402	17	9402
13	9313	21	9313
11	3613	14	3613
13	873	12	873
12	6428	16	6428
12	842	15	842
13	1785	14	1785
14	7006	13	7006
13	6328	18	6328
11	5628	15	5628
14	9830	27	9830
12	7631	16	7631
12	3132	15	3132
12	4452	13	4452
12	5101	14	5101
13	4366	17	4366
14	3721	16	3721
13	7167	24	7167
11	4111	9	4111
13	5327	15	5327
13	7923	24	7923
13	7878	21	7878
12	744	14	744
13	3758	19	3758
15	8084	16	8084
12	2513	13	2513
12	8145	11	8145
13	2191	15	2191
10	364	17	364
10	3899	16	3899
10	3976	12	3976
13	1123	16	1123
11	4282	14	4282
13	1170	19	1170
13	2907	14	2907
13	1288	13	1288
11	3849	11	3849
12	7469	22	7469
10	1480	12	1480
13	8017	21	8017
13	1920	15	1920
11	1724	11	1724
12	2637	20	2637
10	300	14	300
13	5242	14	5242
10	1979	13	1979
13	9516	20	9516
13	7329	16	7329
13	2992	14	2992
10	259	18	259
13	7439	13	7439
